"","Genet","Ramet","Year","Month1","stage2","PrevStage","PrevYear","NextStage","NextYear","firstYear","firstStage","lastYear","lastStage"
"1","3",NA,2002,"M","PD",NA,NA,NA,NA,2002,"PD",2002,"Dead"
"2","3",NA,2002,"J","Dead",NA,NA,NA,NA,2002,"PD",2002,"Dead"
"3","6",NA,2005,"J","SR",NA,NA,"SR",2006,2005,"SR",2009,"F"
"4","6",NA,2006,"J","SR","SR",2005,"SR",2007,2005,"SR",2009,"F"
"5","6",NA,2007,"J","SR","SR",2006,"SR",2008,2005,"SR",2009,"F"
"6","6",NA,2008,"J","SR","SR",2007,"F",2009,2005,"SR",2009,"F"
"7","6",NA,2009,"J","F","SR",2008,NA,NA,2005,"SR",2009,"F"
"8","7",NA,2005,"J","SR",NA,NA,"SR",2006,2005,"SR",2008,"UK"
"9","7",NA,2006,"J","SR","SR",2005,"F",2007,2005,"SR",2008,"UK"
"10","7",NA,2007,"J","F","SR",2006,"UK",2008,2005,"SR",2008,"UK"
"11","7",NA,2008,"J","UK","F",2007,NA,NA,2005,"SR",2008,"UK"
"12","8",NA,2005,"J","SR",NA,NA,"Dead",2006,2005,"SR",2006,"Dead"
"13","8",NA,2006,"J","Dead","SR",2005,NA,NA,2005,"SR",2006,"Dead"
"14","10",NA,2005,"J","SR",NA,NA,"Dead",2006,2005,"SR",2006,"Dead"
"15","10",NA,2006,"J","Dead","SR",2005,NA,NA,2005,"SR",2006,"Dead"
"16","19","1",1992,"M","SR",NA,NA,"SR",1993,1992,"SR",1998,"Dead"
"17","19","1",1992,"J","F",NA,NA,"SR",1993,1992,"SR",1998,"Dead"
"18","19","2",1993,"M","SR","SR",1992,"SR",1994,1992,"SR",1998,"Dead"
"19","19","2",1993,"J","SR","F",1992,"F",1994,1992,"SR",1998,"Dead"
"20","19","2",1994,"M","SR","SR",1993,"PD",1995,1992,"SR",1998,"Dead"
"21","19","2",1994,"J","F","SR",1993,"SR",1995,1992,"SR",1998,"Dead"
"22","19","2",1995,"M","PD","SR",1994,"SR",1996,1992,"SR",1998,"Dead"
"23","19","3",1995,"J","SR","F",1994,"SR",1996,1992,"SR",1998,"Dead"
"24","19","3",1996,"M","SR","PD",1995,"SR",1997,1992,"SR",1998,"Dead"
"25","19","3",1996,"J","SR","SR",1995,"SR",1997,1992,"SR",1998,"Dead"
"26","19","3",1997,"M","SR","SR",1996,"Dead",1998,1992,"SR",1998,"Dead"
"27","19","3",1997,"J","SR","SR",1996,NA,NA,1992,"SR",1998,"Dead"
"28","19","3",1998,"M","Dead","SR",1997,NA,NA,1992,"SR",1998,"Dead"
"29","23","1",1994,"J","SR",NA,NA,"SR",1995,1994,"SR",1999,"Dead"
"30","23","1",1995,"M","UK",NA,NA,"SR",1996,1994,"SR",1999,"Dead"
"31","23","2",1995,"J","SR","SR",1994,"SR",1996,1994,"SR",1999,"Dead"
"32","23","2",1996,"M","SR","UK",1995,"SR",1997,1994,"SR",1999,"Dead"
"33","23","2",1996,"J","SR","SR",1995,"PD",1997,1994,"SR",1999,"Dead"
"34","23","2",1997,"M","SR","SR",1996,"PD",1998,1994,"SR",1999,"Dead"
"35","23","2",1997,"J","PD","SR",1996,"PD",1998,1994,"SR",1999,"Dead"
"36","23","2",1998,"M","PD","SR",1997,"SR",1999,1994,"SR",1999,"Dead"
"37","23","2",1998,"J","PD","PD",1997,"Dead",1999,1994,"SR",1999,"Dead"
"38","23","3",1999,"M","SR","PD",1998,NA,NA,1994,"SR",1999,"Dead"
"39","23","3",1999,"J","Dead","PD",1998,NA,NA,1994,"SR",1999,"Dead"
"40","24","1",1990,"M","SR",NA,NA,"SR",1991,1990,"SR",1997,"Dead"
"41","24","1",1990,"J","SR",NA,NA,"SR",1991,1990,"SR",1997,"Dead"
"42","24","1",1991,"M","SR","SR",1990,"SR",1992,1990,"SR",1997,"Dead"
"43","24","1",1991,"J","SR","SR",1990,"SR",1992,1990,"SR",1997,"Dead"
"44","24","1",1992,"M","SR","SR",1991,"SR",1993,1990,"SR",1997,"Dead"
"45","24","1",1992,"J","SR","SR",1991,"F",1993,1990,"SR",1997,"Dead"
"46","24","1",1993,"M","SR","SR",1992,"PD",1994,1990,"SR",1997,"Dead"
"47","24","1",1993,"J","F","SR",1992,"PD",1994,1990,"SR",1997,"Dead"
"48","24","1",1994,"M","PD","SR",1993,"SR",1995,1990,"SR",1997,"Dead"
"49","24","1",1994,"J","PD","F",1993,"SR",1995,1990,"SR",1997,"Dead"
"50","24","2",1995,"M","SR","PD",1994,"SR",1996,1990,"SR",1997,"Dead"
"51","24","2",1995,"J","SR","PD",1994,"SR",1996,1990,"SR",1997,"Dead"
"52","24","2",1996,"M","SR","SR",1995,"SR",1997,1990,"SR",1997,"Dead"
"53","24","2",1996,"J","SR","SR",1995,"Dead",1997,1990,"SR",1997,"Dead"
"54","24","2",1997,"M","SR","SR",1996,NA,NA,1990,"SR",1997,"Dead"
"55","24","2",1997,"J","Dead","SR",1996,NA,NA,1990,"SR",1997,"Dead"
"56","25",NA,1997,"J","SR",NA,NA,"SR",1998,1997,"SR",2001,"Dead"
"57","25",NA,1998,"M","SR",NA,NA,"SR",1999,1997,"SR",2001,"Dead"
"58","25",NA,1998,"J","SR","SR",1997,"UK",1999,1997,"SR",2001,"Dead"
"59","25",NA,1999,"M","SR","SR",1998,"SR",2000,1997,"SR",2001,"Dead"
"60","25",NA,1999,"J","UK","SR",1998,NA,NA,1997,"SR",2001,"Dead"
"61","25",NA,2000,"M","SR","SR",1999,"Dead",2001,1997,"SR",2001,"Dead"
"62","25",NA,2001,"M","Dead","SR",2000,NA,NA,1997,"SR",2001,"Dead"
"63","27",NA,2002,"M","PD",NA,NA,NA,NA,2002,"PD",2005,"Dead"
"64","27",NA,2002,"J","SR",NA,NA,"SR",2003,2002,"PD",2005,"Dead"
"65","27",NA,2003,"J","SR","SR",2002,NA,NA,2002,"PD",2005,"Dead"
"66","27",NA,2005,"J","Dead",NA,NA,NA,NA,2002,"PD",2005,"Dead"
"67","28","1",1990,"M","SR",NA,NA,"SR",1991,1990,"SR",1999,"Dead"
"68","28","1",1990,"J","SR",NA,NA,"SR",1991,1990,"SR",1999,"Dead"
"69","28","1",1991,"M","SR","SR",1990,"PD",1992,1990,"SR",1999,"Dead"
"70","28","1",1991,"J","SR","SR",1990,"F",1992,1990,"SR",1999,"Dead"
"71","28","1",1992,"M","PD","SR",1991,"MR",1993,1990,"SR",1999,"Dead"
"72","28","1",1992,"J","F","SR",1991,"MR",1993,1990,"SR",1999,"Dead"
"73","28","2",1993,"M","MR","PD",1992,"MR",1994,1990,"SR",1999,"Dead"
"74","28","2",1993,"J","MR","F",1992,"MR",1994,1990,"SR",1999,"Dead"
"75","28","2",1994,"M","MR","MR",1993,"MR",1995,1990,"SR",1999,"Dead"
"76","28","2",1994,"J","MR","MR",1993,"MR",1995,1990,"SR",1999,"Dead"
"77","28","2",1995,"M","MR","MR",1994,"MR",1996,1990,"SR",1999,"Dead"
"78","28","2",1995,"J","MR","MR",1994,"F",1996,1990,"SR",1999,"Dead"
"79","28","2",1996,"M","MR","MR",1995,"SR",1997,1990,"SR",1999,"Dead"
"80","28","2",1996,"J","F","MR",1995,"SR",1997,1990,"SR",1999,"Dead"
"81","28","3",1997,"M","SR","MR",1996,"SR",1998,1990,"SR",1999,"Dead"
"82","28","3",1997,"J","SR","F",1996,"SR",1998,1990,"SR",1999,"Dead"
"83","28","3",1998,"M","SR","SR",1997,"Dead",1999,1990,"SR",1999,"Dead"
"84","28","3",1998,"J","SR","SR",1997,NA,NA,1990,"SR",1999,"Dead"
"85","28","3",1999,"M","Dead","SR",1998,NA,NA,1990,"SR",1999,"Dead"
"86","29","1",1990,"M","SR",NA,NA,"SR",1991,1990,"SR",1995,"Dead"
"87","29","1",1990,"J","SR",NA,NA,"SR",1991,1990,"SR",1995,"Dead"
"88","29","1",1991,"M","SR","SR",1990,"SR",1992,1990,"SR",1995,"Dead"
"89","29","1",1991,"J","SR","SR",1990,"SR",1992,1990,"SR",1995,"Dead"
"90","29","1",1992,"M","SR","SR",1991,"SR",1993,1990,"SR",1995,"Dead"
"91","29","1",1992,"J","SR","SR",1991,"F",1993,1990,"SR",1995,"Dead"
"92","29","1",1993,"M","SR","SR",1992,"UK",1994,1990,"SR",1995,"Dead"
"93","29","1",1993,"J","F","SR",1992,"SR",1994,1990,"SR",1995,"Dead"
"94","29","1",1994,"M","UK","SR",1993,"Dead",1995,1990,"SR",1995,"Dead"
"95","29","2",1994,"J","SR","F",1993,NA,NA,1990,"SR",1995,"Dead"
"96","29","2",1995,"M","Dead","UK",1994,NA,NA,1990,"SR",1995,"Dead"
"97","30","1",1990,"M","SR",NA,NA,"SR",1991,1990,"SR",2001,"Dead"
"98","30","1",1990,"J","SR",NA,NA,"SR",1991,1990,"SR",2001,"Dead"
"99","30","1",1991,"M","SR","SR",1990,"PD",1992,1990,"SR",2001,"Dead"
"100","30","1",1991,"J","SR","SR",1990,"PD",1992,1990,"SR",2001,"Dead"
"101","30","1",1992,"M","PD","SR",1991,"SR",1993,1990,"SR",2001,"Dead"
"102","30","1",1992,"J","PD","SR",1991,"SR",1993,1990,"SR",2001,"Dead"
"103","30","2",1993,"M","SR","PD",1992,"MR",1994,1990,"SR",2001,"Dead"
"104","30","2",1993,"J","SR","PD",1992,"F",1994,1990,"SR",2001,"Dead"
"105","30","2",1994,"M","MR","SR",1993,"MR",1995,1990,"SR",2001,"Dead"
"106","30","2",1994,"J","F","SR",1993,"MR",1995,1990,"SR",2001,"Dead"
"107","30","3",1995,"M","MR","MR",1994,"MR",1996,1990,"SR",2001,"Dead"
"108","30","3",1995,"J","MR","F",1994,"F",1996,1990,"SR",2001,"Dead"
"109","30","3",1996,"M","MR","MR",1995,"SR",1997,1990,"SR",2001,"Dead"
"110","30","3",1996,"J","F","MR",1995,"SR",1997,1990,"SR",2001,"Dead"
"111","30","4",1997,"M","SR","MR",1996,"SR",1998,1990,"SR",2001,"Dead"
"112","30","4",1997,"J","SR","F",1996,"SR",1998,1990,"SR",2001,"Dead"
"113","30","4",1998,"M","SR","SR",1997,"SR",1999,1990,"SR",2001,"Dead"
"114","30","4",1998,"J","SR","SR",1997,"SR",1999,1990,"SR",2001,"Dead"
"115","30","4",1999,"M","SR","SR",1998,"SR",2000,1990,"SR",2001,"Dead"
"116","30","4",1999,"J","SR","SR",1998,NA,NA,1990,"SR",2001,"Dead"
"117","30","4",2000,"M","SR","SR",1999,"Dead",2001,1990,"SR",2001,"Dead"
"118","30","4",2001,"M","Dead","SR",2000,NA,NA,1990,"SR",2001,"Dead"
"119","31","1",1990,"J","SR",NA,NA,"F",1991,1990,"SR",2003,"SR"
"120","31","1",1991,"M","SR",NA,NA,"PD",1992,1990,"SR",2003,"SR"
"121","31","1",1991,"J","F","SR",1990,"SR",1992,1990,"SR",2003,"SR"
"122","31","1",1992,"M","PD","SR",1991,"SR",1993,1990,"SR",2003,"SR"
"123","31","2",1992,"J","SR","F",1991,"F",1993,1990,"SR",2003,"SR"
"124","31","2",1993,"M","SR","PD",1992,"MR",1994,1990,"SR",2003,"SR"
"125","31","2",1993,"J","F","SR",1992,"SR",1994,1990,"SR",2003,"SR"
"126","31","3",1994,"M","MR","SR",1993,"UK",1995,1990,"SR",2003,"SR"
"127","31","3",1994,"J","SR","F",1993,"SR",1995,1990,"SR",2003,"SR"
"128","31","3",1995,"M","UK","MR",1994,"Dead",1996,1990,"SR",2003,"SR"
"129","31","3",1995,"J","SR","SR",1994,NA,NA,1990,"SR",2003,"SR"
"130","31","3",1996,"M","Dead","UK",1995,NA,NA,1990,"SR",2003,"SR"
"131","31","3",2002,"J","SR",NA,NA,"SR",2003,1990,"SR",2003,"SR"
"132","31","3",2003,"J","SR","SR",2002,NA,NA,1990,"SR",2003,"SR"
"133","32",NA,2002,"J","SR",NA,NA,"SR",2003,2002,"SR",2003,"SR"
"134","32",NA,2003,"J","SR","SR",2002,NA,NA,2002,"SR",2003,"SR"
"135","33",NA,1990,"M","SR",NA,NA,NA,NA,1990,"SR",1990,"Dead"
"136","33",NA,1990,"J","Dead",NA,NA,NA,NA,1990,"SR",1990,"Dead"
"137","34",NA,1990,"M","SR",NA,NA,"Dead",1991,1990,"SR",1991,"Dead"
"138","34",NA,1990,"J","SR",NA,NA,NA,NA,1990,"SR",1991,"Dead"
"139","34",NA,1991,"M","Dead","SR",1990,NA,NA,1990,"SR",1991,"Dead"
"140","35","1",1990,"M","SR",NA,NA,"SR",1991,1990,"SR",2001,"Dead"
"141","35","1",1990,"J","SR",NA,NA,"F",1991,1990,"SR",2001,"Dead"
"142","35","1",1991,"M","SR","SR",1990,"SR",1992,1990,"SR",2001,"Dead"
"143","35","1",1991,"J","F","SR",1990,"F",1992,1990,"SR",2001,"Dead"
"144","35","2",1992,"M","SR","SR",1991,"SR",1993,1990,"SR",2001,"Dead"
"145","35","2",1992,"J","F","F",1991,"F",1993,1990,"SR",2001,"Dead"
"146","35","3",1993,"M","SR","SR",1992,"SR",1994,1990,"SR",2001,"Dead"
"147","35","3",1993,"J","F","F",1992,"SR",1994,1990,"SR",2001,"Dead"
"148","35","4",1994,"M","SR","SR",1993,"PD",1995,1990,"SR",2001,"Dead"
"149","35","4",1994,"J","SR","F",1993,"PD",1995,1990,"SR",2001,"Dead"
"150","35","4",1995,"M","PD","SR",1994,"SR",1996,1990,"SR",2001,"Dead"
"151","35","4",1995,"J","PD","SR",1994,"SR",1996,1990,"SR",2001,"Dead"
"152","35","5",1996,"M","SR","PD",1995,"SR",1997,1990,"SR",2001,"Dead"
"153","35","5",1996,"J","SR","PD",1995,"SR",1997,1990,"SR",2001,"Dead"
"154","35","5",1997,"M","SR","SR",1996,"SR",1998,1990,"SR",2001,"Dead"
"155","35","5",1997,"J","SR","SR",1996,"SR",1998,1990,"SR",2001,"Dead"
"156","35","5",1998,"M","SR","SR",1997,"SR",1999,1990,"SR",2001,"Dead"
"157","35","5",1998,"J","SR","SR",1997,"UK",1999,1990,"SR",2001,"Dead"
"158","35","5",1999,"M","SR","SR",1998,"SR",2000,1990,"SR",2001,"Dead"
"159","35","5",1999,"J","UK","SR",1998,NA,NA,1990,"SR",2001,"Dead"
"160","35","5",2000,"M","SR","SR",1999,"Dead",2001,1990,"SR",2001,"Dead"
"161","35","5",2001,"M","Dead","SR",2000,NA,NA,1990,"SR",2001,"Dead"
"162","36",NA,2005,"J","SR",NA,NA,"Dead",2006,2005,"SR",2006,"Dead"
"163","36",NA,2006,"J","Dead","SR",2005,NA,NA,2005,"SR",2006,"Dead"
"164","37",NA,1990,"M","SR",NA,NA,"SR",1991,1990,"SR",1993,"Dead"
"165","37",NA,1990,"J","UK",NA,NA,"SR",1991,1990,"SR",1993,"Dead"
